"product_id","category","sub_category","product_name"
"OFF-BI-10001120","Office Supplies","Binders","Ibico EPK-21 Electric Binding System"
"FUR-CH-10003365","Furniture","Chairs","Office Star Executive Leather Armchair, Adjustable"
"FUR-CH-10000602","Furniture","Chairs","Novimex Executive Leather Armchair, Red"
"TEC-MA-10002680","Technology","Machines","Konica Inkjet, White"
"FUR-CH-10000891","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Black"
"TEC-CAN-10003392","Technology","Copiers","Canon Copy Machine, Color"
"TEC-CO-10001449","Technology","Copiers","Hewlett Packard LaserJet 3310 Copier"
"FUR-BO-10001372","Furniture","Bookcases","Safco Classic Bookcase, Pine"
"TEC-MOT-10002272","Technology","Phones","Motorola Smart Phone, with Caller ID"
"TEC-CO-10004997","Technology","Copiers","Hewlett Wireless Fax, Color"
"TEC-CO-10001766","Technology","Copiers","Canon PC940 Copier"
"FUR-TA-10000226","Furniture","Tables","Chromcraft Conference Table, with Bottom Storage"
"OFF-AP-10002244","Office Supplies","Appliances","Breville Refrigerator, White"
"TEC-PH-10001459","Technology","Phones","Samsung Galaxy Mega 6.3"
"FUR-BO-10001073","Furniture","Bookcases","Safco Classic Bookcase, Metal"
"TEC-MA-10000045","Technology","Machines","Zebra ZM400 Thermal Label Printer"
"TEC-PH-10002035","Technology","Phones","Samsung Smart Phone, Cordless"
"TEC-PH-10002565","Technology","Phones","Apple Audio Dock, with Caller ID"
"OFF-AP-10002945","Office Supplies","Appliances","Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room"
"FUR-BO-10004999","Furniture","Bookcases","Safco Classic Bookcase, Metal"
"FUR-TA-10001205","Furniture","Tables","Chromcraft Wood Table, Rectangular"
"TEC-PH-10004196","Technology","Phones","Samsung Smart Phone, Cordless"
"FUR-CHR-10001018","Furniture","Tables","Chromcraft Round Table, Rectangular"
"FUR-CH-10003232","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"OFF-AP-10001630","Office Supplies","Appliances","Hamilton Beach Microwave, Black"
"FUR-HAR-10002873","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"FUR-TA-10000687","Furniture","Tables","Bevis Conference Table, with Bottom Storage"
"TEC-PH-10004505","Technology","Phones","Nokia Smart Phone, Full Size"
"TEC-PH-10002683","Technology","Phones","Apple Smart Phone, Cordless"
"TEC-CO-10002269","Technology","Copiers","Brother Ink, Color"
"TEC-CO-10002526","Technology","Copiers","Sharp Wireless Fax, Digital"
"FUR-CH-10002891","Furniture","Chairs","Hon Executive Leather Armchair, Adjustable"
"TEC-CAN-10001437","Technology","Copiers","Canon Wireless Fax, Laser"
"OFF-BI-10004995","Office Supplies","Binders","GBC DocuBind P400 Electric Binding System"
"TEC-PH-10004327","Technology","Phones","Motorola Smart Phone, Full Size"
"OFF-AP-10001621","Office Supplies","Appliances","Hamilton Beach Refrigerator, Black"
"OFF-HOO-10001881","Office Supplies","Appliances","Hoover Stove, White"
"TEC-CO-10001954","Technology","Copiers","Brother Wireless Fax, Laser"
"FUR-BO-10003282","Furniture","Bookcases","Ikea Classic Bookcase, Mobile"
"TEC-CO-10003102","Technology","Copiers","Canon Copy Machine, Color"
"FUR-TA-10003392","Furniture","Tables","Global Adaptabilities Conference Tables"
"OFF-AP-10002552","Office Supplies","Appliances","Hamilton Beach Stove, White"
"TEC-MOT-10000554","Technology","Phones","Motorola Smart Phone, Full Size"
"FUR-TA-10003627","Furniture","Tables","Bevis Conference Table, with Bottom Storage"
"FUR-BO-10001133","Furniture","Bookcases","Ikea Classic Bookcase, Mobile"
"TEC-MA-10003515","Technology","Machines","Panasonic Printer, Red"
"OFF-AP-10002904","Office Supplies","Appliances","Hamilton Beach Refrigerator, Silver"
"TEC-MOT-10003348","Technology","Phones","Motorola Smart Phone, Full Size"
"TEC-PH-10001990","Technology","Phones","Cisco Smart Phone, Full Size"
"TEC-PH-10002898","Technology","Phones","Samsung Smart Phone, Full Size"
"TEC-CO-10001633","Technology","Copiers","Sharp Fax Machine, High-Speed"
"TEC-PH-10002623","Technology","Phones","Cisco Smart Phone, with Caller ID"
"FUR-TA-10004575","Furniture","Tables","Hon 5100 Series Wood Tables"
"FUR-BO-10001498","Furniture","Bookcases","Dania Classic Bookcase, Pine"
"OFF-AP-10003598","Office Supplies","Appliances","Breville Refrigerator, Red"
"FUR-CH-10001582","Furniture","Chairs","Office Star Executive Leather Armchair, Black"
"TEC-MA-10001047","Technology","Machines","3D Systems Cube Printer, 2nd Generation, Magenta"
"TEC-PH-10000505","Technology","Phones","Apple Smart Phone, with Caller ID"
